"No","Soru","A","B","C","D","E","Cevap"
"93","Aşağıdakilerin hangisinde alınan kararla Milli Mücadele unsurlarının tamamı merkezi bir örgütlenmeye gitmiştir?","Balıkesir-Alaşehir Kongresi","Havza Genelgesi","Amasya Genelgesi","Erzurum Kongresi","Sivas Kongresi","E"
"94","Amasya Görüşmelerinde Mustafa Kemal'in Mebusan Meclisi'nin İstanbul'da toplanması önerisine karşı çıkmasında; I. İstanbul'un işgal altında olması, II. meclisin baskı altında kalacağı endişesi, III. işgalci güçlerin seçimleri engelleme düşüncesi nedenlerinden hangileri etkili olmuştur?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","C"
"95","Mebusan Meclisinde yer alan aşağıdaki hangi grup Misak-ı Milli kararlarının kabul edilmesinde etkili olmuştur?","Müdafaa-i Hukuk","Ahrar","Felah-ı Vatan","Yeşil Ordu","Tesanüd (Dayanışma)","C"
"96","Mustafa Kemal'in 'Benim gazetem' şeklinde nitelendirdiği Milli Mücadele'nin doğrudan sözcülüğünü yapan ilk gazete aşağıdakilerden hangisidir?","Minber","İrade-i Milliye","Hakimiyet-i Milliye","Ceride-yi Resmiye","Anadolu Ajansı","C"
"97","I. Milli sınırlar içinde vatan bir bütündür parçalanamaz. II. Ulusal güçler padişahlık ve halifelik makamını kurtaracaktır. III. Osmanlı Mebusan Meclisi derhal toplanmalıdır. IV. Milli iradeyi egemen kılmak esastır. Erzurum Kongresi'nde alınan yukarıdaki kararlardan hangileri birbiriyle çelişmektedir?","I ve II","II ve III","III ve IV","II ve IV","I, II ve III","D"
"98","30 Ekim 1918 tarihinde Mondros Ateşkes Antlaşması imzalandığı sırada Mustafa Kemal aşağıda verilen görevlerden hangisini yürütmekteydi?","Dokuzuncu Ordu Müfettişliği","Yıldırım Orduları Komutanlığı","Temsil Kurulu Başkanlığı","Sofya Askeri Ataşeliği","Yedinci Ordu Komutanlığı","B"
"99","Aşağıdaki cemiyetlerden hangisi Ermeni çıkarları için çalışmıştır?","Hınçak","Mavri Mira","Kordo","Mim Mim","Makabi","A"
"100","Amasya Genelgesi'nde; - Ulusun bağımsızlığını yine ulusun azim ve kararı kurtaracaktır. - İstanbul Hükümeti üzerine düşen görevini yerine getirememektedir. şeklinde kararlar alınmıştır. Bu kararlara bakılarak; I. İstanbul Hükümetine açıkça tepki gösterilmiştir. II. Milli egemenlik fikri ileri sürülmüştür. III. Milli Mücadele'nin yöntemi belirlenmiştir. yargılarından hangilerine ulaşılabilir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","E"
"101","Mustafa Kemal'in IX. Ordu Müfettişliği görevi sırasında aşağıdaki hangi faaliyeti sonrası İstanbul Hükümeti tarafından ilk kez geri çağrılmıştır?","Samsun Raporu'nu hazırlaması","Havza Genelgesi'ni yayımlaması","Afyon Kongresi'ne katılması","Amasya Genelgesi'ni yayımlaması","Sivas Kongresi'ni toplaması","B"
"102","I. Rauf Orbay, II. Kazım Karabekir, III. Ali Fuat Paşa Yukarıdakilerden hangileri Amasya daki çalışmalara katılıp Amasya Genelgesi ni imzalayan komutanlar arasında yer almaktadır?","Yalnız I","Yalnız II","I ve II","I ve III","I, II ve III","D"
"103","Aşağıdakilerden hangisi Erzurum Kongresi'nin toplanma amaçlarından biri değildir?","Doğudaki Ermeni ve Rum tehlikesine karşı önlem almak","Mondros Ateşkes'in 24. maddesine yönelik tedbirler almak","Doğudaki milli güçleri birleştirmek","Bölgede yaşanan Türk göçünü engellemek","Düzenli ordunun kurulması çalışmalarına katkı sağlamak","E"
"104","I. Anadolu Ajansı II. İrade-i Milliye gazetesi III. Hâkimiyet-i Milliye gazetesi IV. Peyam-ı Sabah gazetesi Yukarıdakilerden hangileri, Kurtuluş Savaşı'nda milli birliği tehlikeye düşürecek iç ve dış yayınlara karşı milleti uyarma görevini yapmıştır?","Yalnız I","Yalnız II","Yalnız IV","III ve IV","I, II ve III","E"
"105","Aşağıdakilerden hangisi Milli Mücadele'nin son kongresidir?","Edirne","Lüleburgaz","Afyon","Pozantı","Nazilli","D"
"106","Gazetenin ana başlığının altındaki 'Amal-i Milliyenin Müdafidir' sözü Mustafa Kemal tarafından yazdırıldı. İlk sayısında 'Mustafa Kemal'in Sivas Kongresi'ni Açış Nutku', 'Kongre Üyelerinin Yemin Metni' gibi başlıklar yer alıyordu. Sözü edilen gazete aşağıdakilerden hangisidir?","İrade-i Milliye","Hakimiyet-i Milliye","Minber","Albayrak","Ceride-i Resmiye","A"
"107","Aşağıdakilerden hangisi Amasya Görüşmelerinde Temsil Heyetinin İstanbul Hükümeti temsilcisi Salih Paşa ya sunduğu isteklerden biri değildir?","Manda ve himaye reddedilecek","Sivas Kongresi kararları kabul edilecek","Osmanlı Mebusan Meclisi Ankara'da toplanacak","Zararlı yayın organlarının faaliyetlerine son verilecek","Kuvay-ı Milliye maddi olarak desteklenecek","C"
"108","Aşağıda verilen gelişmelerin hangisi Temsil Kurulunun ilk siyasi başarısıdır?","Anadolu ve Rumeli Müdafaa-i Hukuk Cemiyetinin kurulması","Erzurum Kongresi'nin toplanması","Mustafa Kemal'in Heyet-i Temsiliye başkanı seçilmesi","Damat Ferit Hükümeti'nin istifa etmesi","Misak-ı Milli'nin mecliste kabul ettirilmesi","D"
"109","Misakı Milli'de yer alan 'Yabancılara siyasi, hukuki, mali gelişmemizi önleyecek hiçbir imtiyaz tanınamaz.' kararıyla aşağıdakilerden hangisine açıkça karşı çıkılmıştır?","Boğazlar Komisyonu'na","Kapitülasyonlara","Fener Rum Patrikhanesine","Mondros Ateşkes Antlaşması'nın 7. maddesine","Manda ve himaye düşüncesini savunanlara","B"
"110","Aşağıdakilerden hangisi 12 Ocak 1920 tarihinde açılan Son Osmanlı Mebusan Meclisi'nde Mustafa Kemal yerine meclis başkanı olarak seçilmiştir?","Rauf Bey","Damat Ferit Paşa","Ahmet İzzet Paşa","Reşat Hikmet","Salih Paşa","D"
"111","Aşağıdakilerden hangisi Misak-ı Milli kararlarının özelliklerinden biri değildir?","Türk milletinin kabul edilebileceği barış şartları belirtilmiştir.","Bölünmez Türk vatanının sınırları çizilmiştir.","Kurtuluş Savaşı'nın programı yasallaşmıştır.","Türk milleti tam bağımsızlık şuuruna ulaşmıştır.","Milli egemenlik ilkesi resmiyet kazanmıştır.","E"
"112","Erzurum Kongresi kararlarının aşağıdakilerin hangisinde etkili olduğu savunulamaz?","Lozan Antlaşması'nın bağımsızlığı savunan ruhu","Sivil ve askeri yöneticilerin işgallere karşı mitingler düzenlemeleri için genelgeler yayımlanması","Sivas Kongresi kararları","Amasya Protokolleri","TBMM'nin toplanış ve açılış gerekçesi","B"
"113","Aşağıdakilerden hangisi Milli Mücadele'ye katkısı olan Kuva-yı Milliye şeflerinden biri değildir?","Topal Osman","İpsiz Recep","Gaddar Pehlivan","Cafer Tayyar Paşa","Çopur Musa","E"
"114","Aşağıdaki kongrelerden hangisi diğerlerine göre daha etkin bir biçimde Batı Anadolu'daki dağınık örgütleri birleştirme çabası içine girmiştir?","Alaşehir Kongresi","Afyon Kongresi","Muğla Kongresi","Nazilli Kongresi","Uşak Kongresi","A"
"115","Mustafa Kemal'in Nutuk'ta özel bir yer ayırdığı ve fedakar bir vatansever olarak nitelendirdiği Kuvayı Milliye şefi aşağıdakilerden hangisidir?","Parti Pehlivan","Ali Efe","Yahya Kaptan","İpsiz Recep","Topal Osman","C"
"116","Mebusan Meclisi için yapılan seçimlerde çoğunluğu Müdafaa-i Hukukçular kazanınca padişah seçimleri İttihatçıların kazandığını ileri sürmüş ve meclisin toplanmasını geciktirmiştir. Padişahın böyle bir tutum sergilemesinin nedeni aşağıdakilerden hangisidir?","İstanbul'un resmen işgal edilmesinden çekinmesi","Mustafa Kemal'in başkan seçilmesini önlemeye çalışması","Seçimleri yenilemek istemesi","İtilaf Devletlerinin baskısından korkması","Kendi iradesinin etkisiz kalacağından endişe etmesi","E"
"117","İstanbul'un resmen işgali sırasında İtilaf kuvvetleri tarafından X. Kafkas Tümeni ve Mızıka Takımı'nın koğuş olarak kullandığı binaya aniden girerek, yataklarında uyuyan Türk askerlerinin üzerine ateş açılması olayına verilen ad aşağıdakilerden hangisidir?","Akbaş Cephaneliği Olayı","Şehzadebaşı Karakolu Olayı","Gültepe Karakolu Olayı","Çağlayan Karakolu Olayı","Çeliktepe Karakolu Olayı","B"
"118","Mustafa Kemal, İtilaf Devletlerinin İstanbul ve Adana'dan Anadolu'ya yapacakları sevkiyatını önlemek amacıyla Geyve ve Ulukışla civarındaki demir yollarının tahrip edilmesi emrini aşağıdaki hangi gelişmenin ardından vermiştir?","Amasya Görüşmelerinin","İzmir'in Yunanlılar tarafından işgal edilmesinin","IX. Ordu Müfettişliği görevinden istifa etmesinin","İstanbul'un resmen işgal edilmesinin","Ali Fuat Paşa'nın Batı Cephesi komutanlığına atanmasının","D"
